ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Logje,840,planina,329546,883,4,1,0,
Lopa,2406,vrh,7580,2037,10,2,0,
Lopatnik,2012,vrh,414868,573,16,1,0,
Lopič / Monte Plauris,1958,,281370,1069,2,2,0,
Lovska koča Bala,1300,,219692,1304,3,1,0,
Lovska koča Mali Vokel,1193,,359,2688,2,4,0,
Lovska koča na Glinu,1527,vrh,161518,1531,2,5,0,
Lovska koča Na Utrci,1500,,235213,1246,2,1,0,
Lovčev bivak Pri Koucah,1192,,217701,1313,4,2,0,
Luknja,1758,sedlo,469193,380,6,2,0,1
Macesnovec,1926,vrh,478517,355,3,1,0,1
Mahavšček,2008,vrh,509507,274,8,5,0,1
Mala Boka,440,,214344,1326,1,1,0,
Mala Martuljška Ponca,2501,vrh,424669,540,1,1,1,
Mala Mojstrovka,2332,vrh,755316,32,9,5,2,13
Mala Osojnica,691,vrh,495628,308,5,2,0,4
Mala Ponca,1925,vrh,481317,348,4,3,0,1
Mala Rodica,1901,vrh,248740,1196,5,2,0,3
Mala Tičarica,2071,vrh,548356,178,14,4,0,4
Mala Zelnarica,2310,vrh,457032,431,12,4,0,3
Malga Cuarnan,1070,koča,451,2646,1,1,0,
Mali Draški vrh,2132,vrh,535549,208,16,8,0,2
Mali Kanin,2571,vrh,446967,459,5,1,0,
Mali Karman / Monte Cuarnan,1372,,198927,1387,1,1,0,
Mali Ozebnik,2324,vrh,286209,1054,2,1,0,
Mali Raskovec,1946,vrh,209365,1348,3,4,0,1
Mali slap Kozjak,230,slap,296185,1016,2,1,0,1
Mali Triglav,2725,vrh,522818,242,4,3,1,14
Mali vrh (na Mežakli),1389,vrh,820,2521,2,2,0,
Mali Šmohor,1939,vrh,328889,887,4,2,0,
Malo Špičje,2312,vrh,428274,528,3,4,0,1
Mangart,2679,vrh,835506,15,26,8,1,10
Mangartska koča na Mangartskem sedlu,1906,koča,494023,312,8,3,0,3
Mangartska planina,1295,planina,4840,2091,7,1,0,
Marija Snežna v Breginjskem kotu,645,"vrh, cerkev",173476,1484,1,1,0,
Matajur,1642,"vrh, cerkev",637424,80,16,13,1,7
